BN,SCHOOL NAME,PROGRESS REPORT TYPE,2012-2013 PROGRESS REPORT GRADE,2011-2012 PROGRESS REPORT GRADE,2010-11 PROGRESS REPORT GRADE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
K036,P.S. 36,D75,B,C,A,C,None,None,None
K036,P.S. 37,D75,B,C,A,C,None,None,None
K053,P.S. K053,D75,None,A,A,B,None,None,None
K140,P.S. K140,D75,F,D,F,D,None,None,None
K141,P.S. K141,D75,None,None,C,B,None,None,None
K231,P.S. K231,D75,None,None,B,C,None,None,None
K368,P.S. 368,D75,C,F,B,D,None,None,None
K369,P.S. K369 - Coy L. Cox School,D75,B,C,B,B,None,None,None
K372,P.S. 372 -The Children's School,D75,A,A,A,A,None,None,None
K771,P.S. K771,D75,A,A,B,A,None,None,None
M094,P.S. M094,D75,None,C,D,C,None,None,None
M138,P.S. 138,D75,None,None,None,A,None,None,None
M169,P.S. M169 - Robert F. Kennedy,D75,B,B,B,D,None,None,None
M811,P.S. M811 - Mickey Mantle School,D75,B,C,C,F,None,None,None
Q004,P.S. Q004,D75,B,D,A,A,None,None,None
Q009,P.S. 009,D75,B,B,A,B,None,None,None
Q023,P.S. Q023 @ Queens Children Center,D75,None,None,B,B,None,None,None
Q075,Robert E. Peary School,D75,A,A,A,C,None,None,None
Q224,P.S. Q224,D75,C,B,B,B,None,None,None
Q256,P.S. Q256,D75,A,A,A,A,None,None,None
R025,South Richmond High School I.S./P.S. 25,D75,B,B,C,B,None,None,None
R373,P.S. R373,D75,D,B,A,B,None,None,None
X010,P.S. X010,D75,C,A,B,A,None,None,None
X017,P.S. X017,D75,D,A,A,A,None,None,None
X168,P.S. 168,D75,C,C,C,D,None,None,None
X176,P.S. X176,D75,A,None,None,None,None,None,None
X186,P186X Walter J. Damrosch School,D75,C,B,C,F,None,None,None
X188,P.S. X188,D75,C,B,D,C,None,None,None
X352,The Vida Bogart School for All Children,D75,B,B,C,B,None,None,None
X723,X723,D75,C,B,B,C,None,None,None
K249,P.S. 249 The Caton,EC,None,A,A,A,None,None,None
K310,P.S. 310,EC,B,None,None,None,None,None,None
K325,The Fresh Creek School,EC,None,None,None,None,None,None,None
K333,Explore Exceed Charter School,EC,None,None,None,None,None,None,None
K361,P.S. 361 East Flatbush Early Childhood School,EC,C,D,C,C,None,None,None
K379,Explore Excel Charter School,EC,None,None,None,None,None,None,None
K401,Christopher Avenue Community School,EC,None,None,None,None,None,None,None
K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,EC,None,None,B,None,None,None,None
K627,Brighter Choice Community School,EC,None,None,None,D,None,None,None
K628,Brooklyn Brownstone School,EC,None,None,None,None,None,None,None
K649,La Cima Charter School,EC,None,None,D,None,None,None,None
K651,PAVE Academy Charter School,EC,None,None,C,None,None,None,None
K652,Brooklyn Ascend Charter School,EC,None,None,None,B,None,None,None
K676,RED HOOK NEIGHBORHOOD SCHOOL,EC,None,None,None,None,None,None,None
K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,EC,None,None,None,None,None,None,None
